"g","nfc_01","nfc_02","nfc_03","nfc_04","nfc_05","nfc_06"
"MichiganStateUniversity",2,2,4,2,3,4
"MichiganStateUniversity",4,2,4,2,3,1
"MichiganStateUniversity",3,2,1,4,4,3
"MichiganStateUniversity",3,4,2,3,1,2
"MichiganStateUniversity",4,3,4,4,4,4
"MichiganStateUniversity",2,1,3,3,4,2
"MichiganStateUniversity",2,2,2,4,5,1
"MichiganStateUniversity",2,4,4,2,2,2
"MichiganStateUniversity",2,2,4,4,4,3
"MichiganStateUniversity",2,3,3,1,2,3
"MichiganStateUniversity",3,2,5,5,5,2
"MichiganStateUniversity",4,2,5,2,2,4
"MichiganStateUniversity",2,2,4,3,5,2
"MichiganStateUniversity",2,3,2,2,4,4
"MichiganStateUniversity",5,1,1,5,1,1
"MichiganStateUniversity",4,4,3,4,3,4
"MichiganStateUniversity",4,3,3,3,4,2
"MichiganStateUniversity",2,1,2,4,4,2
"MichiganStateUniversity",4,2,4,2,4,4
"MichiganStateUniversity",4,2,3,4,5,2
"MichiganStateUniversity",3,2,4,2,5,5
"MichiganStateUniversity",2,4,4,4,3,2
"MichiganStateUniversity",2,2,3,4,4,2
"MichiganStateUniversity",4,2,2,4,4,2
"MichiganStateUniversity",3,2,3,2,2,2
"MichiganStateUniversity",2,1,3,5,4,3
"MichiganStateUniversity",3,3,3,2,4,3
