"g","sysjust1","sysjust2","sysjust3","sysjust4","sysjust5","sysjust6","sysjust7","sysjust8"
"mturk   ",2,3,4,3,3,3,2,1
"mturk   ",1,1,1,4,4,4,1,7
"mturk   ",3,3,6,6,4,1,4,2
"mturk   ",2,1,3,2,4,1,2,1
"mturk   ",6,6,7,7,5,6,6,6
"mturk   ",5,3,3,7,5,2,2,3
"mturk   ",3,3,4,5,5,3,2,4
"mturk   ",3,1,3,6,4,3,6,3
"mturk   ",4,2,4,5,4,1,7,4
"mturk   ",3,2,2,1,3,1,3,4
"pi      ",1,3,4,4,5,1,5,1
"mturk   ",3,1,2,2,2,2,3,2
"mturk   ",5,5,5,6,6,5,4,5
"pi      ",4,3,5,6,4,2,3,3
"pi      ",2,2,3,7,2,3,3,2
"pi      ",3,1,6,5,5,2,4,4
"pi      ",4,4,3,6,4,3,4,4
"pi      ",3,2,5,6,3,3,3,3
"pi      ",3,3,3,3,4,2,4,2
"pi      ",2,2,3,7,4,2,4,5
"ufl     ",3,4,3,4,5,3,4,3
"ufl     ",5,1,1,4,6,6,1,5
"ufl     ",3,3,5,4,3,1,6,2
"pi      ",3,3,4,7,4,1,5,4
"pi      ",1,1,1,3,1,5,1,4
"ufl     ",5,4,3,5,3,3,5,3
"pi      ",1,3,3,6,5,1,6,1
"tamuc   ",4,4,3,5,4,4,4,4
"pi      ",4,3,4,7,4,4,3,3
"brasilia",3,1,3,5,3,2,4,1
"pi      ",5,2,4,5,4,4,6,4
"ufl     ",3,3,4,6,3,3,2,2
"ufl     ",2,5,6,7,6,1,5,3
"ufl     ",5,3,2,7,7,7,2,2
"brasilia",1,2,1,1,2,1,1,1
"tamuc   ",3,4,3,5,5,1,3,5
"tamuc   ",4,1,3,6,2,6,2,6
"tamuc   ",4,3,4,7,4,7,4,4
"ufl     ",5,2,4,5,5,4,4,4
"tamuc   ",6,5,6,7,5,7,3,6
"ufl     ",1,2,2,2,2,1,6,1
"pi      ",4,3,3,5,5,3,6,1
"pi      ",3,2,6,4,3,1,5,3
"pi      ",3,3,3,2,4,2,4,1
"tamuc   ",2,3,3,2,6,7,4,4
"pi      ",5,5,3,6,4,4,3,3
"ufl     ",3,4,6,6,5,2,5,6
"ufl     ",3,2,2,7,3,4,2,3
"ufl     ",3,1,3,6,3,1,4,2
"pi      ",5,3,4,6,4,3,2,4
"pi      ",6,2,3,4,4,7,1,4
"ufl     ",5,5,4,3,3,5,3,1
"ufl     ",6,6,7,7,6,7,5,6
"ufl     ",6,5,6,6,4,2,3,5
"pi      ",3,3,3,5,3,1,3,4
"pi      ",3,5,3,3,5,1,5,1
"pi      ",1,1,1,3,3,1,4,3
"ufl     ",2,2,4,5,2,2,2,2
"ufl     ",3,4,5,6,5,6,4,3
"ufl     ",5,5,5,3,5,5,3,3
"ufl     ",6,5,3,7,3,5,1,3
"pi      ",3,2,4,4,6,5,4,4
"pi      ",1,3,3,1,3,1,1,1
"ufl     ",4,3,2,5,4,5,1,2
"ufl     ",3,2,3,4,3,1,2,1
"ufl     ",3,2,5,2,5,2,6,5
"pi      ",2,1,4,6,3,1,2,3
"pi      ",2,3,2,5,3,3,4,1
"pi      ",2,3,3,4,3,1,5,2
"pi      ",5,2,2,5,3,3,3,3
"pi      ",1,1,1,1,1,1,4,1
"pi      ",1,1,1,2,2,3,4,1
"pi      ",4,5,6,4,3,3,4,2
"pi      ",2,4,3,6,5,1,4,4
"pi      ",5,3,2,7,5,1,3,2
"pi      ",3,3,3,2,4,1,7,5
"pi      ",2,3,3,6,3,2,3,2
"pi      ",1,1,1,4,3,2,2,2
"pi      ",5,5,5,6,5,5,4,4
"pi      ",3,2,3,7,3,3,3,5
"pi      ",2,3,2,3,3,7,3,1
"pi      ",1,2,4,7,5,3,3,1
"pi      ",1,2,5,2,3,1,5,2
"pi      ",4,3,4,6,6,7,4,6
"pi      ",1,2,4,3,2,1,4,1
"pi      ",2,1,1,7,1,6,1,2
"pi      ",5,2,3,4,5,5,3,5
"pi      ",5,5,6,6,5,3,5,3
"pi      ",4,6,6,7,7,1,1,1
"pi      ",5,3,3,5,5,3,3,3
"pi      ",1,1,1,1,1,1,4,1
"pi      ",4,4,4,4,3,4,6,3
"pi      ",4,3,4,4,4,7,4,4
"pi      ",1,3,6,3,1,NA,5,1
"pi      ",4,1,1,4,4,4,3,5
"pi      ",4,3,7,NA,3,3,5,3
"pi      ",3,4,4,5,3,3,4,3
"pi      ",7,1,4,7,7,2,4,4
"pi      ",1,1,2,6,2,7,1,1
"pi      ",2,1,3,5,3,2,3,1
"pi      ",3,3,4,3,4,2,4,2
"pi      ",5,4,1,6,6,5,4,3
"pi      ",5,2,3,6,3,2,2,2
"pi      ",4,2,3,3,3,2,4,3
"pi      ",3,3,2,6,4,5,3,3
"pi      ",4,4,4,4,4,1,6,4
"pi      ",2,3,6,4,5,1,6,2
"pi      ",2,1,5,7,5,1,1,2
"pi      ",6,6,3,5,6,7,1,7
"pi      ",3,3,3,5,3,3,5,3
"pi      ",4,2,3,6,3,3,5,3
"pi      ",NA,NA,NA,NA,NA,NA,NA,NA
"pi      ",3,3,3,6,5,2,3,4
"pi      ",1,5,2,4,3,1,3,1
"pi      ",2,1,1,6,5,1,1,2
"pi      ",1,1,1,4,3,1,1,1
"pi      ",5,6,5,5,5,3,4,4
"pi      ",1,3,4,7,5,3,4,1
"pi      ",5,5,6,5,5,6,4,3
"pi      ",3,3,3,4,5,6,4,2
"pi      ",4,3,3,5,5,4,3,3
"pi      ",3,2,3,4,3,3,4,3
"pi      ",1,3,3,3,3,1,3,1
"mcdaniel",4,3,5,5,5,6,3,3
"pi      ",4,3,3,6,5,5,4,3
"pi      ",2,1,2,5,7,4,3,7
"pi      ",3,2,3,7,7,1,5,3
"mcdaniel",1,1,6,7,6,3,4,3
"pi      ",3,1,3,7,4,5,1,4
"pi      ",3,5,5,2,4,3,4,4
"pi      ",5,4,4,7,7,3,4,4
"pi      ",4,2,3,4,3,1,4,1
"pi      ",2,3,6,7,5,3,7,4
"pi      ",2,2,2,3,4,1,4,4
"pi      ",3,6,4,2,5,3,3,3
"pi      ",4,4,6,1,1,3,2,2
"pi      ",4,4,1,4,4,4,1,4
"ufl     ",1,1,2,4,2,2,4,3
"ufl     ",4,5,4,6,5,4,6,4
"ufl     ",3,1,2,3,2,3,3,3
"ufl     ",6,3,5,6,5,4,3,5
"pi      ",4,3,3,6,3,4,3,3
"pi      ",4,4,5,3,5,6,5,2
"mturk   ",4,1,1,4,4,1,1,1
"mturk   ",4,5,2,6,6,3,5,3
"mturk   ",4,6,1,7,5,1,4,4
"tamuc   ",2,2,5,5,5,2,2,3
"mturk   ",5,5,5,6,5,6,2,5
"mturk   ",1,1,3,3,5,2,4,3
"mturk   ",5,5,5,6,6,6,4,5
"mturk   ",5,5,5,3,5,3,5,3
"mturk   ",5,4,5,6,5,2,3,3
"mturk   ",5,3,4,6,4,NA,4,3
"mturk   ",3,7,3,3,4,2,3,2
"mturk   ",3,3,3,4,3,1,4,3
"mturk   ",5,1,4,4,2,5,4,5
"mturk   ",4,4,6,3,6,5,4,2
"mturk   ",3,4,3,3,3,1,6,1
"mturk   ",5,5,5,7,4,6,4,5
"mturk   ",7,1,1,1,1,7,1,1
"mturk   ",6,5,6,7,6,7,6,7
"mturk   ",5,5,7,7,5,3,7,5
"mturk   ",3,2,3,5,2,2,5,2
"mturk   ",6,6,4,7,5,5,6,6
"mturk   ",4,1,4,5,2,2,4,3
"mturk   ",3,2,2,6,4,3,2,3
"mturk   ",4,1,1,3,4,1,4,3
"mturk   ",5,1,4,7,3,3,4,3
"mturk   ",4,5,6,7,5,3,6,4
"mturk   ",3,1,1,6,5,1,1,2
"mturk   ",1,1,1,1,1,1,1,4
"mturk   ",5,4,5,5,5,3,5,3
"mturk   ",5,5,1,4,3,7,2,7
"tamuc   ",3,2,2,1,4,4,3,3
"mturk   ",3,1,2,7,3,5,2,4
"mturk   ",2,2,3,4,3,1,4,2
"mturk   ",3,2,3,4,4,1,3,3
"mturk   ",2,1,5,7,2,3,2,2
"mturk   ",3,1,7,7,1,3,1,3
"mturk   ",5,5,6,7,5,7,5,5
"mturk   ",3,2,3,4,3,2,4,2
"mturk   ",3,3,3,3,5,1,2,3
"pi      ",3,4,5,3,5,3,4,3
"mturk   ",1,1,2,2,1,1,2,1
"mturk   ",6,6,6,5,6,4,5,5
"mturk   ",5,4,5,6,6,5,5,5
"mturk   ",4,4,3,6,3,4,4,4
"mturk   ",4,3,3,3,5,5,4,3
"mturk   ",3,3,4,5,3,3,2,3
"mturk   ",4,2,2,5,5,1,2,1
"mturk   ",2,2,NA,NA,NA,NA,NA,7
"mturk   ",5,5,3,6,7,5,3,4
"mturk   ",5,2,2,4,4,3,4,3
"mturk   ",3,1,1,2,3,3,4,2
"mturk   ",5,2,5,5,4,3,3,5
"mturk   ",5,1,2,5,6,5,1,5
"mturk   ",1,1,1,3,1,1,4,1
"mturk   ",2,3,1,4,2,1,2,1
"mturk   ",2,2,4,2,2,2,3,2
"mturk   ",5,5,6,3,5,4,5,5
"mturk   ",3,1,1,4,5,3,3,4
"mturk   ",3,2,2,1,2,3,3,2
"pi      ",2,1,3,1,1,2,2,3
"mturk   ",3,1,1,5,3,1,4,3
"mturk   ",1,1,2,1,1,1,1,1
"mturk   ",5,6,6,5,5,5,5,4
"mturk   ",6,5,6,7,5,7,7,4
"tamuc   ",2,2,3,3,3,4,3,3
"mturk   ",7,7,7,5,6,5,1,1
"mturk   ",3,2,5,4,2,2,3,2
"mturk   ",6,5,4,5,5,6,4,5
"mturk   ",4,3,5,6,3,7,3,3
"mturk   ",1,1,4,7,4,1,7,1
"mturk   ",3,2,2,5,4,5,3,2
"mturk   ",2,5,2,5,5,3,5,1
"mturk   ",2,1,2,5,4,1,6,3
"mturk   ",2,2,1,3,4,1,3,2
"pi      ",4,2,2,4,4,2,3,4
"mturk   ",5,5,7,7,4,4,6,4
"mturk   ",2,2,2,7,6,1,7,1
"mturk   ",1,1,1,1,1,1,4,1
"jmu     ",1,1,1,6,7,7,3,5
"pi      ",3,5,4,4,4,5,3,5
"mturk   ",6,5,5,7,6,5,3,6
"jmu     ",3,3,4,4,4,2,1,4
"jmu     ",5,4,5,7,5,3,5,3
"mturk   ",1,1,1,2,4,3,4,1
"mturk   ",1,1,5,7,1,1,1,1
"mturk   ",1,1,1,4,4,7,1,7
"pi      ",5,3,5,4,5,2,3,3
"pi      ",5,1,4,4,1,5,6,1
"mturk   ",2,1,4,3,2,1,4,2
"mturk   ",NA,3,3,1,5,1,3,2
"pi      ",6,3,3,5,3,5,5,1
"mturk   ",1,2,1,3,2,1,2,1
"mturk   ",5,5,3,3,5,3,3,5
"mturk   ",3,3,3,3,3,3,3,3
"jmu     ",3,3,3,5,4,3,4,3
"mturk   ",2,1,2,1,1,1,1,1
"jmu     ",2,2,4,4,3,1,4,2
"tamuc   ",3,1,3,7,3,6,5,5
"mturk   ",4,5,1,7,6,6,1,6
"jmu     ",3,3,3,6,5,7,5,3
"mturk   ",3,2,3,6,3,2,3,5
"mturk   ",NA,3,3,5,4,3,3,3
"jmu     ",3,3,4,5,5,2,5,4
"mturk   ",3,1,3,3,1,1,3,1
"mturk   ",2,1,3,5,2,4,7,1
"mturk   ",5,5,5,5,6,5,5,5
"mturk   ",1,1,1,4,3,1,1,1
"mturk   ",6,4,5,5,5,4,6,5
"mturk   ",6,6,6,6,6,6,6,6
"mturk   ",2,1,1,2,1,2,1,2
"mcdaniel",5,4,4,7,6,4,5,3
"mturk   ",5,5,5,5,5,5,5,5
"jmu     ",3,5,6,6,5,6,6,5
"pi      ",4,1,2,4,4,1,4,4
"ufl     ",5,4,5,7,5,6,4,4
"mturk   ",2,1,1,3,1,1,2,2
"mturk   ",5,5,6,5,5,5,3,4
"jmu     ",5,4,4,7,5,2,3,3
"jmu     ",2,4,5,7,5,6,3,1
"jmu     ",7,4,4,4,4,4,4,4
"mturk   ",2,4,3,5,4,1,4,4
"ufl     ",4,5,5,6,5,5,4,3
"mturk   ",4,1,3,2,2,1,1,4
"mturk   ",5,5,4,3,6,6,3,5
"pi      ",3,3,3,3,3,2,3,2
"pi      ",4,3,3,4,3,1,3,1
"pi      ",5,2,6,4,4,2,6,4
"mturk   ",3,NA,3,3,3,4,5,3
"pi      ",3,2,4,7,6,6,1,4
"jmu     ",2,3,6,6,5,2,6,3
"jmu     ",2,4,4,5,5,3,4,2
"pi      ",4,4,3,2,5,3,3,4
"mturk   ",2,2,4,1,3,2,4,2
"mturk   ",5,3,3,4,5,6,3,4
"mturk   ",5,3,1,7,6,6,1,4
"mturk   ",2,3,3,2,2,3,3,2
"mturk   ",4,3,6,7,5,4,4,5
"mturk   ",4,3,3,5,7,2,3,2
"mturk   ",3,2,3,3,2,2,3,3
"mturk   ",5,3,6,6,5,5,3,5
"mturk   ",2,3,4,6,5,1,5,4
"mturk   ",6,5,6,5,6,7,5,6
"mturk   ",5,3,3,5,5,3,6,4
"mturk   ",5,2,5,2,3,4,4,3
"mturk   ",2,2,5,5,3,3,3,3
"mcdaniel",1,1,6,7,1,1,7,1
"mturk   ",4,3,3,6,4,4,7,4
"jmu     ",1,2,1,2,3,1,1,1
"mturk   ",3,4,6,4,5,5,5,2
"jmu     ",3,2,3,5,4,6,5,3
"mcdaniel",4,3,4,4,4,4,4,3
"mturk   ",1,1,3,1,3,1,2,1
"mturk   ",6,6,6,7,7,5,6,5
"mturk   ",5,1,1,5,5,3,3,3
"mturk   ",2,2,3,1,3,2,5,1
"mturk   ",5,5,3,4,5,2,3,2
"mturk   ",3,3,2,3,4,7,2,3
"mturk   ",1,1,1,7,1,4,1,1
"mturk   ",3,3,3,3,3,3,2,3
"mturk   ",6,5,5,7,5,NA,6,6
"mturk   ",6,5,7,7,5,6,5,6
"mturk   ",4,3,4,5,5,1,2,2
"mturk   ",5,5,5,5,5,5,6,2
"mturk   ",6,5,4,6,5,5,4,6
"mturk   ",3,1,2,5,5,2,5,2
"jmu     ",3,3,4,6,3,3,4,4
"mturk   ",2,1,2,2,3,1,2,3
"mturk   ",3,1,3,6,5,2,3,2
"mturk   ",5,3,5,4,5,2,6,3
"mturk   ",3,2,2,6,3,3,3,5
"mturk   ",3,2,1,6,4,1,6,1
"mturk   ",5,4,5,6,3,5,2,6
"mturk   ",6,6,6,6,5,6,3,5
"mturk   ",2,1,4,2,2,2,4,2
"mturk   ",4,6,4,6,4,1,3,3
"mturk   ",3,3,3,2,4,3,3,3
"mturk   ",4,3,3,6,NA,3,3,3
"jmu     ",3,1,6,6,2,5,4,3
"mturk   ",3,4,5,6,1,1,3,1
"mturk   ",5,1,4,5,3,1,4,2
"mturk   ",3,3,2,3,3,3,2,4
"mturk   ",4,2,3,5,3,5,5,4
"mturk   ",3,3,3,4,3,3,4,3
"jmu     ",5,3,6,6,5,3,4,3
"mturk   ",3,2,3,2,2,1,2,2
"mturk   ",5,3,7,6,4,3,5,5
"mturk   ",2,3,4,6,4,5,2,3
"mturk   ",2,3,6,6,5,2,7,2
"pi      ",2,2,7,6,4,2,4,1
"pi      ",5,5,4,7,4,7,7,4
"tamuc   ",2,1,1,4,3,5,5,2
"jmu     ",5,5,2,7,6,5,4,3
"mturk   ",5,3,2,2,5,NA,6,7
"pi      ",6,3,5,5,4,5,4,6
"jmu     ",3,5,3,5,6,3,4,3
"jmu     ",6,5,5,4,5,5,2,3
"jmu     ",3,1,2,2,1,2,1,4
"jmu     ",4,1,2,3,2,1,1,2
"jmu     ",3,3,4,6,2,1,4,2
"jmu     ",3,2,2,5,5,2,1,2
"pi      ",3,5,4,7,4,7,4,4
"pi      ",3,3,4,5,5,5,5,3
"jmu     ",2,3,3,5,6,1,2,3
"pi      ",6,5,6,7,6,3,3,5
"pi      ",3,4,6,6,5,2,5,2
"pi      ",1,1,1,2,2,1,1,3
"jmu     ",3,3,2,5,5,2,2,2
"pi      ",3,6,3,7,5,6,3,4
"jmu     ",5,3,4,5,5,3,4,3
"pi      ",3,3,5,5,3,5,4,5
"jmu     ",2,5,5,6,5,3,1,3
"jmu     ",2,2,4,6,5,3,2,4
"jmu     ",6,4,6,6,5,5,4,4
"jmu     ",3,3,5,2,3,2,3,3
"jmu     ",5,5,2,7,6,3,3,3
"jmu     ",2,1,1,3,5,2,1,2
"jmu     ",3,3,3,4,3,1,7,4
"jmu     ",3,5,5,2,2,3,3,5
"jmu     ",3,4,4,5,5,7,4,3
"jmu     ",5,4,4,6,5,4,4,4
"jmu     ",3,3,4,3,3,1,2,1
"jmu     ",3,4,5,4,5,5,3,4
"jmu     ",4,3,5,2,3,2,1,3
"jmu     ",4,2,3,5,4,3,3,3
"jmu     ",6,6,7,6,6,7,5,5
"jmu     ",3,2,3,4,5,1,3,1
"jmu     ",2,1,1,2,5,2,1,2
"jmu     ",3,3,4,4,3,2,3,3
"pi      ",1,1,4,5,2,1,2,1
"jmu     ",3,1,1,4,3,1,1,1
"jmu     ",5,4,4,7,4,5,4,5
"jmu     ",3,5,2,7,4,7,4,6
"jmu     ",3,3,3,7,6,5,3,6
"jmu     ",5,6,4,6,6,5,4,4
"jmu     ",5,3,3,4,5,4,3,6
"jmu     ",4,4,4,5,5,1,4,3
"jmu     ",3,3,3,4,5,3,4,2
"jmu     ",4,3,3,4,3,2,3,3
"jmu     ",3,3,2,2,4,3,2,3
"jmu     ",1,1,1,4,3,1,5,1
"jmu     ",6,3,4,5,6,7,4,5
"jmu     ",3,5,3,6,6,5,4,4
"jmu     ",2,3,3,5,5,5,1,3
"pi      ",3,2,5,5,3,4,3,2
"pi      ",1,1,1,4,2,2,1,1
"jmu     ",3,3,4,5,4,5,4,3
"jmu     ",3,3,1,5,3,4,4,2
"jmu     ",4,3,4,5,5,3,7,5
"jmu     ",3,3,4,7,3,2,4,3
"jmu     ",2,2,4,5,3,2,5,3
"jmu     ",3,4,4,2,5,1,3,3
"jmu     ",3,3,3,3,5,6,5,3
"jmu     ",4,5,5,6,5,6,5,4
"jmu     ",5,3,5,6,5,2,5,2
"jmu     ",2,3,3,6,5,2,3,1
"jmu     ",3,2,4,5,4,2,4,4
"jmu     ",2,2,5,4,4,5,4,2
"jmu     ",6,2,2,3,4,3,4,3
"jmu     ",4,3,3,5,5,3,3,4
"jmu     ",4,5,6,7,5,3,5,2
"pi      ",2,3,3,4,5,3,4,3
"jmu     ",4,4,4,5,4,3,3,2
"jmu     ",3,2,4,5,3,3,3,4
"pi      ",3,3,5,7,6,5,1,2
"jmu     ",4,1,2,6,5,5,3,5
"jmu     ",5,5,5,7,6,6,5,6
"jmu     ",3,1,4,5,2,3,1,3
"jmu     ",3,3,3,5,5,2,5,3
"pi      ",2,4,4,3,4,1,5,3
"jmu     ",6,5,4,7,7,2,6,6
"pi      ",3,3,4,7,5,2,5,4
"pi      ",3,1,3,6,5,4,1,2
"jmu     ",5,5,6,7,5,6,3,4
"jmu     ",4,3,3,6,4,2,3,3
"pi      ",4,1,1,1,2,2,3,1
"jmu     ",4,2,2,7,4,3,4,3
"jmu     ",4,4,4,4,5,3,4,4
"jmu     ",5,3,5,5,3,7,6,6
"jmu     ",4,5,4,4,5,6,4,3
"jmu     ",3,3,2,6,5,3,5,3
"pi      ",3,1,4,4,5,2,5,2
"jmu     ",5,6,3,7,6,3,6,4
"jmu     ",6,5,6,3,7,5,3,3
"jmu     ",5,5,7,5,7,7,4,4
"pi      ",5,3,3,6,5,1,3,5
"jmu     ",4,3,3,7,NA,1,4,3
"pi      ",3,2,3,5,5,3,2,5
"jmu     ",5,2,7,7,6,3,4,2
"pi      ",1,3,5,4,4,1,4,3
"jmu     ",1,1,2,5,4,4,2,4
"pi      ",5,6,6,7,4,5,3,5
"pi      ",2,1,1,4,4,4,2,4
"jmu     ",2,2,5,3,3,2,2,2
"pi      ",3,2,2,4,3,3,4,4
"jmu     ",3,6,4,7,6,3,3,4
"pi      ",5,2,2,7,3,3,2,2
"jmu     ",3,3,3,5,4,3,4,5
"jmu     ",5,3,3,6,3,6,4,5
"tamuc   ",1,1,2,1,6,1,1,4
"tamuc   ",4,2,3,7,3,2,3,1
"ufl     ",1,1,2,6,5,1,1,1
"ufl     ",3,2,3,7,2,3,6,5
"jmu     ",2,3,4,4,4,4,4,4
"ufl     ",5,3,5,5,5,6,5,6
"ufl     ",1,1,2,2,3,1,6,2
"jmu     ",4,1,4,4,4,5,4,4
"jmu     ",6,3,3,7,3,6,2,2
"jmu     ",3,3,7,4,4,5,3,2
"jmu     ",3,3,3,6,4,3,4,5
"tamu    ",4,5,6,5,4,1,3,1
"tamu    ",5,5,6,7,5,5,2,3
"tamu    ",5,3,4,6,5,2,2,5
"tamu    ",3,3,3,7,5,6,2,7
"jmu     ",3,3,5,6,5,2,4,3
"jmu     ",5,4,4,6,5,5,6,4
"pi      ",5,6,6,6,5,5,3,4
"ufl     ",3,1,3,5,5,7,4,6
"jmu     ",5,5,4,7,6,4,3,4
"jmu     ",2,3,3,5,3,5,2,3
"pi      ",2,4,5,6,5,3,4,3
"tamu    ",4,5,7,7,5,1,4,4
"pi      ",3,3,3,7,7,7,3,5
"tamu    ",1,5,7,7,7,5,1,5
"jmu     ",5,4,4,5,5,3,4,3
"tamu    ",3,3,2,7,6,6,3,5
"tamu    ",5,2,3,7,6,3,3,4
"tamu    ",5,3,4,7,5,6,4,5
"jmu     ",6,3,1,7,3,2,6,3
"tamu    ",5,4,6,5,5,5,5,2
"tamuc   ",5,3,4,4,5,2,2,3
"jmu     ",3,5,5,5,6,2,5,2
"pi      ",2,3,4,4,4,5,3,4
"pi      ",2,3,3,3,5,5,3,5
"jmu     ",3,3,3,5,5,3,4,3
"jmu     ",4,3,4,6,5,5,5,3
"jmu     ",5,4,5,7,5,7,4,3
"pi      ",4,4,4,4,3,6,1,3
"jmu     ",6,6,6,7,6,6,6,7
"jmu     ",2,4,3,6,4,5,2,2
"jmu     ",6,3,4,5,5,3,4,3
"pi      ",5,3,6,6,5,5,1,3
"pi      ",3,2,2,3,5,1,2,5
"jmu     ",3,2,2,3,4,3,4,4
"tamu    ",6,5,6,7,5,3,6,5
"tamu    ",2,3,4,5,3,6,1,4
"jmu     ",4,5,5,7,6,4,6,4
"tamu    ",6,5,3,3,5,3,5,3
"tamu    ",5,5,6,6,6,5,4,6
"tamu    ",3,3,7,7,5,5,4,5
"tamu    ",2,2,3,1,1,1,1,3
"jmu     ",3,3,3,6,5,3,4,4
"mturk   ",4,3,5,5,3,3,3,3
"mturk   ",5,2,4,6,5,6,3,5
"mturk   ",4,3,5,6,5,2,3,3
"mturk   ",5,5,4,6,5,4,5,4
"mturk   ",6,3,4,7,6,5,3,5
"mturk   ",5,5,6,4,5,3,6,4
"mturk   ",3,3,2,1,3,1,3,1
"mturk   ",2,2,3,3,2,2,2,2
"mturk   ",5,4,6,7,5,6,5,6
"mturk   ",3,2,2,6,4,6,1,5
"mturk   ",3,2,2,3,3,3,4,4
"mturk   ",1,1,1,5,1,1,5,1
"mturk   ",3,1,3,6,3,2,3,3
"mturk   ",2,4,3,4,4,1,4,3
"mturk   ",3,3,4,2,3,4,4,4
"mturk   ",2,1,1,3,2,1,2,1
"mturk   ",5,5,4,5,5,3,5,3
"mturk   ",3,1,4,4,3,3,3,3
"mturk   ",2,2,2,5,5,3,3,3
"mturk   ",4,3,3,5,4,5,3,3
"mturk   ",6,5,4,7,6,6,5,6
"mturk   ",3,3,3,4,2,3,3,2
"mturk   ",4,4,4,7,4,4,3,4
"mturk   ",6,5,5,5,5,5,6,5
"mturk   ",5,5,5,5,5,4,6,4
"mturk   ",3,3,3,5,5,4,3,4
"mturk   ",4,3,2,5,5,4,3,4
"mturk   ",5,4,4,7,5,6,4,6
"mturk   ",3,5,3,5,5,6,1,4
"mturk   ",4,2,4,5,5,2,2,4
"mturk   ",6,7,7,4,3,1,2,1
"mturk   ",3,3,3,5,5,2,4,3
"mturk   ",3,3,6,7,5,5,3,3
"mturk   ",3,5,6,5,5,3,7,5
"mturk   ",3,2,2,3,5,2,3,3
"mturk   ",3,3,3,4,5,2,4,2
"mturk   ",5,2,4,7,5,3,1,4
"mturk   ",1,1,4,1,1,1,1,1
"ufl     ",3,5,6,5,5,3,5,3
"mturk   ",2,2,5,3,5,2,6,3
"mturk   ",2,4,4,5,4,1,7,1
"mturk   ",5,4,5,7,5,6,4,5
"mturk   ",3,3,2,4,4,3,3,2
"tamu    ",5,3,3,4,5,3,4,4
"tamu    ",1,1,3,7,1,1,1,1
"tamu    ",5,5,4,6,6,5,5,4
"tamu    ",5,5,5,7,5,7,4,5
"tamu    ",5,3,4,7,5,5,4,4
"tamu    ",3,2,2,3,4,2,4,3
"mturk   ",5,3,2,3,4,5,5,1
"mturk   ",5,2,3,5,3,4,4,5
"mturk   ",2,3,1,5,3,2,1,3
"jmu     ",5,NA,3,6,5,5,3,5
"tamuc   ",2,2,3,2,3,4,2,4
"mturk   ",NA,2,4,4,4,3,4,3
"mturk   ",7,7,7,4,5,7,6,7
"tamuc   ",3,3,2,4,3,2,2,1
"mturk   ",5,NA,6,6,6,3,4,5
"pi      ",1,1,7,6,1,2,6,2
"tamu    ",2,3,3,4,4,5,2,2
"pi      ",5,3,4,7,6,7,3,1
"tamu    ",4,6,5,5,7,3,3,2
"tamu    ",2,1,3,1,3,1,3,2
"tamu    ",1,1,6,1,1,1,1,1
"tamu    ",5,3,3,2,2,1,1,4
"tamu    ",5,5,4,3,3,5,1,5
"pi      ",5,5,3,5,6,6,4,5
"jmu     ",3,5,6,7,5,2,6,1
"tamuc   ",4,1,4,7,4,4,1,1
"tamu    ",3,4,3,7,6,7,2,6
"tamu    ",3,5,5,5,3,3,4,2
"tamu    ",5,1,1,6,5,3,2,5
"tamu    ",3,5,4,7,5,5,4,5
"tamu    ",5,1,4,6,4,6,2,7
"mturk   ",3,3,3,5,5,2,3,3
"tamu    ",5,4,4,3,5,3,6,1
"mcdaniel",3,3,3,6,4,3,5,4
"pi      ",1,1,2,3,2,1,5,2
"mturk   ",5,2,3,5,3,3,3,3
"mturk   ",1,1,3,4,1,1,4,1
"jmu     ",2,3,4,6,4,3,3,3
"jmu     ",5,3,4,7,5,3,2,4
"mturk   ",3,2,1,7,2,5,1,3
"tamuc   ",2,2,3,5,6,3,2,3
"mturk   ",2,4,1,4,2,1,4,1
"mturk   ",6,6,5,7,7,5,4,6
"mturk   ",3,5,5,5,5,2,3,2
"tamu    ",6,4,6,6,4,5,3,2
"brasilia",1,1,1,4,4,1,1,1
"tamu    ",3,4,6,7,5,7,3,5
"pi      ",4,6,3,5,5,6,7,5
"tamu    ",4,3,4,5,5,5,5,3
"ufl     ",3,2,4,5,5,1,4,4
"ufl     ",5,4,5,7,6,6,5,6
"mturk   ",4,3,4,1,1,6,4,3
"mturk   ",5,1,1,3,3,5,1,3
"jmu     ",3,4,5,7,6,5,4,5
"ufl     ",5,6,6,5,5,5,5,3
"jmu     ",6,5,7,7,7,7,7,6
"jmu     ",3,3,5,5,4,1,5,1
"pi      ",4,3,4,4,5,3,5,4
"mturk   ",3,4,5,6,4,3,4,3
"brasilia",1,1,3,3,5,2,5,1
"tamu    ",3,5,6,5,4,6,2,4
"tamu    ",5,5,6,7,5,7,5,5
"tamu    ",3,3,6,6,4,3,3,4
"mturk   ",7,6,7,7,5,6,4,3
"mturk   ",2,3,2,5,4,1,4,3
"tamu    ",5,2,1,7,5,6,1,5
"tamu    ",3,3,3,4,3,2,3,2
"mturk   ",3,6,5,4,6,4,6,5
"jmu     ",5,3,5,6,4,5,3,3
"mturk   ",5,5,4,7,6,3,4,5
"mturk   ",1,1,1,5,1,5,1,1
"mturk   ",2,1,1,1,1,1,1,1
"mturk   ",5,4,3,6,3,5,5,3
